Text,Sarcasm Label,clean_text,label
খুবই দুঃখ জনক ।,Sarcastic,খুবই দুঃখ জনক ।,1
বাংলাদেশ নিজেদের খোঁড়া গর্তে পড়ে মরেছে ।,Sarcastic,বাংলাদেশ নিজেদের খোঁড়া গর্তে পড়ে মরেছে ।,1
পাঠ্যসূচিতে অন্তর্ভুক্ত করার আগে শিক্ষকদের যথাযথ ট্রেনিংয়ের ব্যাবস্থা করতে হবে ।,Non-Sarcastic,পাঠ্যসূচিতে অন্তর্ভুক্ত করার আগে শিক্ষকদের যথাযথ ট্রেনিংয়ের ব্যাবস্থা করতে হবে ।,0
ওবায়দুল কাদের ও ছিল ভাই চিন্তা নাই আমরা করোনার থেকেও শক্তি শালী ।,Sarcastic,ওবায়দুল কাদের ও ছিল ভাই চিন্তা নাই আমরা করোনার থেকেও শক্তি শালী ।,1
রহস্য ও ভৌতিক গল্প পড়তে যারা পছন্দ করেন তাদের কে আমাদের ভৌতিক গল্পের ঝুড়ি পেজে স্বাগতম । আমাদের পেজটি একবার ঘুরে আসুন । ভালো লাগলে তবেই পেজে লাইক দিয়েন । ভৌতিক গল্পের ঝুড়ি,Non-Sarcastic,রহস্য ও ভৌতিক গল্প পড়তে যারা পছন্দ করেন তাদের কে আমাদের ভৌতিক গল্পের ঝুড়ি পেজে স্বাগতম । আমাদের পেজটি একবার ঘুরে আসুন । ভালো লাগলে তবেই পেজে লাইক দিয়েন । ভৌতিক গল্পের ঝুড়ি,0
রংপুরে এখন আকাশ গুরুম গুরুম করতিছে,Non-Sarcastic,রংপুরে এখন আকাশ গুরুম গুরুম করতিছে,0
মিরাজ বলিং হয়েও প্রথম ইনিংস এ যে বাটিং টা করছে এই বাটিং টা আমাদের ব্যাটসমেনরা করতে পারলে আজকে আমাদের এই অবস্থায় থাকা লাগতো না ।,Non-Sarcastic,মিরাজ বলিং হয়েও প্রথম ইনিংস এ যে বাটিং টা করছে এই বাটিং টা আমাদের ব্যাটসমেনরা করতে পারলে আজকে আমাদের এই অবস্থায় থাকা লাগতো না ।,0
যে মেয়ে তেলাপোকা দেখে ভয় পায় না সেই মেয়ে মারাত্মক লেভেলের সাহসী ।,Non-Sarcastic,যে মেয়ে তেলাপোকা দেখে ভয় পায় না সেই মেয়ে মারাত্মক লেভেলের সাহসী ।,0
গরিবের সানিলিওন । জনগনকে তুমি যা দেখাইছাও বিটিভি আরটিভি এনটিভি তার কিছুই দেখাতে পারেনি হুদায় নাম দিছে টিভি ।,Sarcastic,গরিবের সানিলিওন । জনগনকে তুমি যা দেখাইছাও বিটিভি আরটিভি এনটিভি তার কিছুই দেখাতে পারেনি হুদায় নাম দিছে টিভি ।,1
বাংলাদেশকে আরো পরিচিত করো বিশ্বদরবারে । আমাদের রাজনৈতিক নেতারা শুধু বাংলাদেশকে ডুবিয়েই যাচ্ছেন । আমরা বরই অসহায় বিশ্বদরবারে বাংলাদেশের ভাবমুর্তী উজ্জল করার জন্য একজনই আছে সে হলো আমাদের সাকিব ।,Non-Sarcastic,বাংলাদেশকে আরো পরিচিত করো বিশ্বদরবারে । আমাদের রাজনৈতিক নেতারা শুধু বাংলাদেশকে ডুবিয়েই যাচ্ছেন । আমরা বরই অসহায় বিশ্বদরবারে বাংলাদেশের ভাবমুর্তী উজ্জল করার জন্য একজনই আছে সে হলো আমাদের সাকিব ।,0
